#voltage[V] current[uA] LCR_freq[Hz] CP D CPerror Derror 
26.4 0.0300 31623 1.57062E-11 1.06037E-2 1.97419E-14 6.50405E-4
26.4 0.0310 100000 1.58311E-11 2.49603E-2 2.00898E-15 9.16863E-5
26.4 0.0300 316228 1.56206E-11 4.79766E-2 1.86441E-14 1.44032E-3
26.5 0.0310 1E6 1.67767E-11 1.24214E-1 7.21942E-15 6.04855E-4
27.3 0.0310 1000 1.63855E-11 1.06603E-1 5.29470E-14 2.69807E-3
27.3 0.0320 3162 1.57472E-11 1.98985E-2 1.26935E-13 6.29750E-3
27.3 0.0310 10000 1.55245E-11 1.94901E-2 4.33877E-14 1.51496E-3
27.3 0.0310 31623 1.55108E-11 1.09210E-2 1.25421E-14 6.31335E-4
27.3 0.0310 100000 1.56293E-11 2.49177E-2 1.88319E-15 1.73575E-4
27.4 0.0310 316228 1.54212E-11 4.73543E-2 1.53100E-14 8.87792E-4
27.3 0.0310 1E6 1.65545E-11 1.26566E-1 6.45957E-15 3.72654E-4
28.3 0.0310 1000 1.62522E-11 1.08512E-1 3.46320E-14 1.96235E-3
28.3 0.0310 3162 1.53443E-11 4.51592E-2 7.16578E-14 9.41018E-3
28.3 0.0330 10000 1.54178E-11 1.27999E-2 2.21844E-14 2.59736E-3
28.3 0.0300 31623 1.53191E-11 1.18461E-2 1.10972E-14 9.79075E-4
28.3 0.0340 100000 1.54310E-11 2.55698E-2 2.19228E-15 1.55143E-4
28.3 0.0310 316228 1.52249E-11 5.01853E-2 1.40474E-14 9.34181E-4
28.3 0.0340 1E6 1.63123E-11 1.35445E-1 8.95806E-15 1.04486E-3
29.2 0.0340 1000 1.60939E-11 1.09196E-1 3.50172E-14 2.05462E-3
29.2 0.0320 3162 1.54342E-11 5.31219E-2 9.70625E-14 6.99593E-3
29.2 0.0320 10000 1.50665E-11 1.23351E-2 2.46430E-14 2.62160E-3
29.2 0.0340 31623 1.51331E-11 1.15445E-2 9.52398E-15 7.75724E-4
29.2 0.0330 100000 1.52425E-11 2.60903E-2 2.54089E-15 1.74006E-4
29.2 0.0320 316228 1.50344E-11 5.15611E-2 1.00440E-14 5.98698E-4
29.2 0.0330 1E6 1.60944E-11 1.39578E-1 7.16526E-15 5.75779E-4
30.2 0.0340 1000 1.59213E-11 1.09178E-1 3.54791E-14 1.95290E-3
30.2 0.0330 3162 1.51151E-11 2.13252E-2 1.45968E-13 1.00080E-2
30.2 0.0330 10000 1.50271E-11 1.41849E-2 2.58567E-14 3.82262E-3
30.2 0.0340 31623 1.49375E-11 1.14448E-2 1.08776E-14 9.49456E-4
30.2 0.0350 100000 1.50464E-11 2.64072E-2 2.13832E-15 1.11638E-4
30.2 0.0320 316228 1.48512E-11 5.19127E-2 1.09291E-14 7.60799E-4
30.2 0.0320 1E6 1.58793E-11 1.42016E-1 1.27539E-14 5.93165E-4
31.2 0.0340 1000 1.57493E-11 1.09585E-1 3.61077E-14 2.57384E-3
31.2 0.0350 3162 1.49341E-11 2.29796E-2 1.37196E-13 8.77595E-3
31.2 0.0350 10000 1.48303E-11 1.30986E-2 2.61103E-14 3.20733E-3
31.2 0.0340 31623 1.47533E-11 1.21326E-2 8.60270E-15 9.16976E-4
